Palermo;Palermo;Sicilia;Ballaro;via Ballaro;38.111533;13.361120;
Palermo;Palermo;Sicilia;Capo;via Cappuccinelle;38.119159;13.353763;
Palermo;Palermo;Sicilia;Vucceria;via dei Frangiai;38.118233;13.362932;
Palermo;Palermo;Sicilia;Borgo Vecchio;Via Principe Scordia;38.127992;13.358697;
Palermo;Palermo;Sicilia;Via Montalbo;via Montalbo;38.137854;13.361970;
Palermo;Palermo;Sicilia;Altarello;via Termini Imerese;38.116917;13.327528;Lunedi
Palermo;Palermo;Sicilia;Calatafimi;via Titone;38.106500;13.334222;Lunedi
Palermo;Palermo;Sicilia;Brancaccio;via Pecori Girardi;38.097083;13.399500;Lunedi
Palermo;Palermo;Sicilia;Falsomiele;via dell'Airone;38.090528;13.358639;Martedi
Palermo;Palermo;Sicilia;Villaggio S.Rosalia;via Giuseppe Li Bassi;38.099813;13.353153;Martedi
Palermo;Palermo;Sicilia;Quartiere Resuttana-San lorenzo;viale Francia/piazza San Marino/ via dei Nebrodi;38.155590;13.325429;Martedi
Palermo;Palermo;Sicilia;viale Campania;viale Campania;38.145500;13.338556;Mercoledi
Palermo;Palermo;Sicilia;Passo di Rigano;via Cartagine;38.124111;13.309389;Mercoledi
Palermo;Palermo;Sicilia;CEP;via Paladini;38.135194;13.309278;Mercoledi
Palermo;Palermo;Sicilia;Sferacavallo;Via Terenzio Publio;38.196944;13.279139;Mercoledi
Palermo;Palermo;Sicilia;Tommaso Natale;via Tommaso Natale;38.188722;13.287639;Mercoledi
Palermo;Palermo;Sicilia;Villa Tasca;via SS. Mediatrice;38.100444;13.332222;Giovedi
Palermo;Palermo;Sicilia;ZEN;via G.Zappa;38.178000;13.312056;Giovedi
Palermo;Palermo;Sicilia;Arenella;via S. Vincenzo Dè Paoli;38.152472;13.374111;Giovedi
Palermo;Palermo;Sicilia;Vergine Maria;piazza Tonnara;38.152194;13.375222;Giovedi
Palermo;Palermo;Sicilia;Partanna;via Atlante/via Apollo;38.197611;13.313556;Giovedi
Monreale;Palermo;Sicilia;Monreale;via della Repubblica, piazza G.Fedele;38.080139;13.288222;Giovedi
Palermo;Palermo;Sicilia;Uditore;via B.Angelico;38.130861;13.320167;Venerdi
Palermo;Palermo;Sicilia;Guglielmo il Buono;via Nina Siciliana;38.118333;13.331222;Venerdi
Palermo;Palermo;Sicilia;Don Orione;Via G.Jung;38.143667;13.363250;Venerdi
Palermo;Palermo;Sicilia;Oreto;Via La Franca;38.101278;13.365222;Venerdi
Palermo;Palermo;Sicilia;Quartiere Montepellegrino;Via Cirrincione, Via Puglisi;38.143889;13.349000;Venerdi
Palermo;Palermo;Sicilia;Zisa;Via F.D. Guerrazzi, Via M. Piazza;38.115947;13.343391;Venerdi
Palermo;Palermo;Sicilia;Montepellegrino;Via Cirrincione;38.143889;13.349000;Sabato
Palermo;Palermo;Sicilia;Calatafimi Mezzo Monreale;via Chinnici Generale Domenico;38.100129;13.321316;Sabato
Palermo;Palermo;Sicilia;Galileo Galilei;Piazzale Giotto;38.131861;13.331806;Sabato
Palermo;Palermo;Sicilia;Borgo Nuovo;Via Mozia;38.130833;13.298083;Sabato
Palermo;Palermo;Sicilia;Oreto Nuova;Via della Concordia;38.097889;13.374972;Sabato
Palermo;Palermo;Sicilia;Villa Sperlinga, Mercato del Contadino;via Marchese Ugo;38.138472;13.342194;Sabato
Palermo;Palermo;Sicilia;Corso dei Mille;Corso dei Mille;38.096000;13.398972;Domenica
Palermo;Palermo;Sicilia;Kalsa;Foro Italico Umberto I;38.114361;13.376722;Domenica
Catania;Catania;Sicilia;Fera 'o Luni;Piazza Carlo Alberto;37.509417;15.088222;
Catania;Catania;Sicilia;Piscarìa;Piazza Alonzo di Benedetto.;37.501861;15.086917;
Catania;Catania;Sicilia;piazza Montessori;presso l'Ospedale Garibaldi Vecchio;37.509012;15.075518;Lunedi
Catania;Catania;Sicilia;Largo Gaetano di Giovanni;Via di Giovanni Gaetano;37.503888;15.049876;Lunedi
Catania;Catania;Sicilia;via Giuseppe Simili;via Giuseppe Simili;37.540865;15.067539;Lunedi
Catania;Catania;Sicilia;piazza BenedettoCondorelli Fragalà;Piazza Benedetto Condorelli Fragalà;37.536686;15.076506;Martedi
Catania;Catania;Sicilia;piazza Giuseppe Sapienza;San Giorgio;;;Martedi
Catania;Catania;Sicilia;via Grassa Finocchiaro;Picanello;37.526404;15.103706;Mercoledi
Catania;Catania;Sicilia;viale Bummacaro;Librino;37.483644;15.051743;Mercoledi
Catania;Catania;Sicilia;piazza Eroi d'Ungheria;Nesima inferiore;37.507787;15.049527;Giovedi
Catania;Catania;Sicilia;largo Papa Paolo VI;presso il Borgo;;;Giovedi
Catania;Catania;Sicilia;piazza i Vicere-via Puglia;Canalicchio;37.537166;15.083514;Venerdi
Catania;Catania;Sicilia;via Don Giovanni Minzoni;San Giovanni Galermo;37.547501;15.048021;Venerdi
Catania;Catania;Sicilia;piazza San Pio X  Papa;Nesima Superiore;37.513627;15.048474;Venerdi
Catania;Catania;Sicilia;piazza Vincenzo Spedini;Cibali;37.514226;15.070542;Sabato
Caltanisetta;Caltanisetta;Sicilia;"Mercato ortofrutticolo""Strata a foglia""";Nel antico quartiere dei Fogliamara;37.491000;14.060195;
Siracusa;Siracusa;Sicilia;L'antica Piscaria di Ortigia;Via Emmanuele de Benedictis;37.064762;15.293392;
Trapani;Trapani;Sicilia;Mercato del pesce;via Cristoforo Colombo;38.016128;12.499686;
